cardExpire,cardNumber,cardType,currency,iban,user_id
05/27,372693683592457,American Express,AUD,DE75893691459791933066,41
09/30,3617114029166871,Diners Club International,AUD,DE93605312121879910330,42
04/30,4428728609793403,Visa,GBP,GB58KE8PN3FCXGLNMUBMMT,43
04/28,4074575855296699,Visa,EUR,IT7037DVE9L57TAFA2EURKL0XSVYY,44
06/27,376869242043473,American Express,EUR,ES6553771897122276945739,45
06/30,6011824282761474,Discover,USD,DE13885235068199673116,46
06/27,5178671180822861,Mastercard,CAD,DE13081878587256403239,47
10/27,6011119289200851,Discover,JPY,DE44066881161114600974,48
08/29,4052153700364850,Visa,USD,DE94704470123742214634,49
06/30,6011034610653738,Discover,CAD,DE55632738801652716114,50
04/28,3644848905447957,Diners Club International,GBP,GB4969YU8ZX5UYTERMTE5X,51
04/27,6011208284318428,Discover,USD,DE24921117776315926153,52
07/28,6274044364167720,UnionPay,CAD,DE82596013730509620675,53
01/27,3694482369735209,Diners Club International,AUD,DE64412118002973670494,54
12/29,5103143689853920,Mastercard,CNY,DE08501985146215650096,55
11/28,6244336069792340,UnionPay,CNY,DE63839439222192955762,56
03/27,6219523455857412,UnionPay,EUR,ES8455352365180556489643,57
03/27,3597557762216721,JCB,USD,DE40170219523360368210,58
02/27,4440217612919449,Visa,AUD,DE42359669771256255400,59
08/28,4194199742529819,Visa,AUD,DE61911452633085852456,60
11/27,5462211256387971,Mastercard,PKR,DE03241052506475845931,61
01/30,5345673525788631,Mastercard,CAD,DE95606990330913836024,62
01/29,6011018306792827,Discover,PKR,DE85851020383435975478,63
11/29,348209987427281,American Express,USD,DE73592158037537845511,64
11/29,378727185199132,American Express,USD,DE80910408666998686966,65
02/28,5222769696858258,Mastercard,GBP,GB93YU9GTP9S3UJCULWWWL,66
02/29,3679480974040543,Diners Club International,INR,DE75685444844842250154,67
05/27,4969294380437301,Visa,JPY,DE80270773734561018109,68
11/27,5279253885149052,Mastercard,PKR,DE33422897681286949155,69
03/29,3572305898329375,JCB,PKR,DE17822765864402242705,70
04/28,4430199802511909,Visa,AUD,DE39754904735053030680,71
04/29,5484756296822829,Mastercard,USD,DE89495183052938550075,72
12/27,3678619813293851,Diners Club International,NZD,DE18703844898682506782,73
01/30,348277527859982,American Express,PKR,DE38600509143511850161,74
02/27,5329265469096228,Mastercard,PKR,DE64575893844650635639,75
10/28,5598889672042796,Mastercard,EUR,DE44930694766981571115,76
12/30,6011200228317947,Discover,USD,DE72553185887481000157,77
03/30,6282984352125703,UnionPay,EUR,DE60851175428733331885,78
09/28,3671333437099820,Diners Club International,AUD,DE68908839907520337336,79
10/28,6242995375483407,UnionPay,AUD,DE65180546074755787211,80
02/30,6011463292832932,Discover,GBP,GB912RDPFF9YXGMYS7IO14,81
11/28,6251160829300404,UnionPay,CAD,DE24616534006239319185,82
07/29,3597467382729154,JCB,AUD,DE62128867521743907285,83
02/28,6011926454334632,Discover,CAD,DE02970928927762628941,84
12/30,3619819353654759,Diners Club International,JPY,DE71584174384607676704,85
04/30,3683030075043773,Diners Club International,EUR,NL93RS8SF94BBBS3CP,86
04/27,6011958188897220,Discover,USD,DE05114187235425829622,87
10/29,3692710040595549,Diners Club International,CAD,DE48679614573470291447,88
01/27,3572820525250943,JCB,JPY,DE55621011313808322534,89
09/29,4353527268881312,Visa,GBP,GB24LBWQ8O8LCR9BC6PCZ3,90
08/27,6011037232328647,Discover,CAD,DE93427728102249711205,91
09/29,3618727858757814,Diners Club International,GBP,GB512IQ7OY0FUSMWYQ1ZY7,92
05/29,4909300466849187,Visa,GBP,GB143VNTYACHFYIJTM9SX8,93
02/30,4228060747301119,Visa,CAD,DE80586311923264727661,94
08/28,341978562582747,American Express,PKR,DE39761174609022554949,95
07/29,5480171454066942,Mastercard,GBP,GB36C9TE2MIXX12X8IJMLG,96
11/27,6011597179762975,Discover,USD,DE16654874987771550206,97
10/29,348500223799446,American Express,JPY,DE94679076797491453575,98
03/27,3581201445671725,JCB,CAD,DE01439050186894663094,99
12/29,3573611722474066,JCB,EUR,DE23981874800457879322,100
07/27,5560162465503729,Mastercard,CNY,DE11729875884000312491,101
04/30,3654883476033545,Diners Club International,GBP,GB50FILIYPYET62B22GD66,102
09/30,374970244492890,American Express,INR,DE06646067555223276327,103
04/30,5503135276268039,Mastercard,INR,DE80210977585310104611,104
03/30,6011728212195820,Discover,CNY,DE03754619165111286589,105
01/30,3543683023231831,JCB,CNY,DE64786601731141248019,106
05/29,5352159445468371,Mastercard,PKR,DE17571141744410142594,107
05/30,370634287580201,American Express,USD,DE50949809039314684438,108
08/30,379775725439426,American Express,EUR,FR83G6Q8NSLQJEO5WVUFZCKGRCR,109
05/29,3554103710306636,JCB,CAD,DE01916325371900273488,110
04/28,348243157734051,American Express,CNY,DE11854447228099155449,111
11/30,3511024200905426,JCB,JPY,DE42863681794561041810,112
01/27,374812962083560,American Express,AUD,DE86403890980325102338,113
06/27,6230059981368470,UnionPay,EUR,ES0879356122227694118579,114
08/30,4130729891616491,Visa,USD,DE00047845969239925102,115
05/29,6247374556177839,UnionPay,PKR,DE58392890975298184746,116
05/30,349189566293370,American Express,EUR,IT88GLSNDVETYALH79DUSDQWYBNMA,117
07/30,6011077992458291,Discover,NZD,DE65736872101851256314,118
06/27,3516111681641599,JCB,GBP,GB15QCNK0YN13MOM11MK2M,119
06/27,3624706703512915,Diners Club International,EUR,IT11I7OH0LNMRH9TWLYIYJSEN90DP,120
02/30,3622583668551978,Diners Club International,JPY,DE72545287965967528178,121
05/27,6214553637200533,UnionPay,CAD,DE20832166752783097377,122
08/28,6011081116356183,Discover,INR,DE00577496693166255034,123
01/30,3553297247069104,JCB,EUR,FR89F3HKAI2Q8MPK3JKJ43YQIT7,124
12/27,4292999200530725,Visa,GBP,GB11R050CU0GPV3SAUA76Y,125
04/29,6011220004349518,Discover,PKR,DE43065666962183562708,126
08/28,341916827338091,American Express,CNY,DE61071660856690375886,127
04/27,5397674676756176,Mastercard,GBP,GB185H4BD9WU8ALYA68TRC,128
07/28,6011745492056720,Discover,NZD,DE34428918964089151024,129
09/29,6211810190692826,UnionPay,NZD,DE73141356592265247054,130
08/27,4668916290124603,Visa,AUD,DE89790012694823772619,131
09/29,3642221306373937,Diners Club International,JPY,DE78775986197889341723,132
01/28,3613008246626895,Diners Club International,JPY,DE12856465746729342919,133
04/29,4690792626690100,Visa,PKR,DE47309653520729856008,134
05/27,5195573329944110,Mastercard,CAD,DE67341880174568825698,135
06/27,5362208194454054,Mastercard,PKR,DE03605844090278785940,136
08/30,3586993985989302,JCB,AUD,DE10494154133019096550,137
04/27,5170079203858920,Mastercard,USD,DE55219063143518395090,138
05/28,4748183976991672,Visa,AUD,DE87345816258443495391,139
03/28,5387457752733737,Mastercard,CNY,DE26703502815756464422,140
03/28,372883598477114,American Express,CAD,DE91637916995329810607,141
09/27,6011811630030256,Discover,INR,DE52636264791885715598,142
11/29,4958825043876089,Visa,NZD,DE40456251314372326863,143
05/30,4543248759982300,Visa,EUR,IT6591X3OT294DBQX1YLKGSWWNA8I,144
05/30,6280401969910585,UnionPay,JPY,DE83804394975915686542,145
05/29,3548078187092597,JCB,USD,DE15732596931777821637,146
10/30,371905945311588,American Express,GBP,GB8253KW72S9PYJOKIXEU7,147
04/28,3623396287064565,Diners Club International,GBP,GB87US86D82O10U5WQ3949,148
01/28,4160369590482375,Visa,EUR,FR00Y7162U8NEO3MP9KH7XWEUIJ,149
12/29,6293710744340594,UnionPay,USD,DE40037559951021750272,150
04/27,6249029371283109,UnionPay,USD,DE15115435946113309166,151
08/29,342308839999608,American Express,JPY,DE35842585481140849667,152
09/28,5280595761746535,Mastercard,USD,DE00924971694266362800,153
11/27,6011588768695031,Discover,CAD,DE51532962988384921630,154
02/28,6011717794974959,Discover,EUR,IT33EVOXAT3Y059PG2XPDFECJVPDD,155
12/29,4584709028598326,Visa,EUR,NL07YI74AY8L48Z7OE,156
03/29,6011771715186854,Discover,AUD,DE28971190963043337518,157
10/29,6011134098408991,Discover,AUD,DE95703770320430230584,158
12/29,6274598075250802,UnionPay,PKR,DE34853906618829087035,159
03/28,6011676927223587,Discover,CAD,DE40545766507961181523,160
03/28,5320718477998800,Mastercard,GBP,GB57R4B13WEMDNO6DIA8UZ,161
07/27,3539941859152398,JCB,INR,DE25650310413214549347,162
06/30,349258150653925,American Express,INR,DE86950801872104806508,163
12/30,6011006235805000,Discover,AUD,DE46038536418760965942,164
03/28,6011649523997482,Discover,JPY,DE82516268632522760976,165
02/29,5223503782631983,Mastercard,GBP,GB291SKJY1I21ZAJIARKW4,166
11/27,374728584171064,American Express,EUR,DE11844195310624156968,167
06/30,3610345876492229,Diners Club International,CNY,DE20042505201862845625,168
01/27,344631329723628,American Express,NZD,DE20728946224821920876,169
09/30,6242594365211272,UnionPay,JPY,DE87528809228685113004,170
08/27,3653613907693828,Diners Club International,INR,DE16078918540210551697,171
08/27,5267990819173310,Mastercard,JPY,DE05893634226384406776,172
01/30,6011589163616085,Discover,EUR,FR915U90IRZVO9NSF11TNJ90JOZ,173
08/29,6228437307237690,UnionPay,NZD,DE58807464116879327572,174
11/30,5420308304182882,Mastercard,CAD,DE68245010104502539714,175
04/29,5587285781475675,Mastercard,CNY,DE44094986173554781705,176
08/30,6206898893365896,UnionPay,INR,DE84969044320419430591,177
11/28,3527301792517740,JCB,USD,DE24623441183863217719,178
12/30,5282581814452378,Mastercard,AUD,DE03406168388008868436,179
01/29,5491854809080174,Mastercard,NZD,DE91340258026412696778,180
06/28,340760948556822,American Express,USD,DE78242044012178976645,181
06/29,3594431865052875,JCB,EUR,IT09USU7OP2B6R1XJHG2UWKSIIR6S,182
06/30,3650999535456040,Diners Club International,USD,DE00502308685137338510,183
03/28,5521735383020435,Mastercard,CNY,DE56786819940214047669,184
12/30,6011285486886105,Discover,AUD,DE22986976692319464410,185
09/30,4288491061851180,Visa,AUD,DE83398579658190357121,186
01/27,379322043547901,American Express,CNY,DE64434166592942126894,187
07/30,3568996021436297,JCB,AUD,DE53096479676200434539,188
12/28,6223691053083477,UnionPay,PKR,DE44505784342608070713,189
01/27,5417627728907136,Mastercard,INR,DE47691590279804514748,190
04/29,5598870370256250,Mastercard,JPY,DE76425872782485742421,191
04/29,6011750076582083,Discover,INR,DE85848611183032244101,192
01/27,6011744869021805,Discover,NZD,DE00017259410821101370,193
04/27,6269387007898897,UnionPay,INR,DE26614229687432666673,194
05/30,4167256216532019,Visa,AUD,DE26290086818528860031,195
08/27,6276716238126846,UnionPay,USD,DE05901764118733861026,196
03/30,6011840845811945,Discover,GBP,GB197UQU1OJAIWUQY2EFDC,197
05/27,3625598714173640,Diners Club International,CAD,DE85872149828202226409,198
06/30,5104777700646745,Mastercard,PKR,DE16976568260658068662,199
08/27,347972688413683,American Express,JPY,DE47803706973935779318,200
09/30,3584440569727304,JCB,JPY,DE02885431597107234986,201
04/29,4204941045510592,Visa,EUR,ES0395977256600365678746,202
01/27,4281297008337127,Visa,CAD,DE21025127888819711543,203
03/30,6269389588713214,UnionPay,NZD,DE89507404827985024217,204
01/29,4922036660101826,Visa,NZD,DE91641615994664908034,205
01/30,5437614839810348,Mastercard,INR,DE24112202737130790320,206
05/30,6011114091979826,Discover,CNY,DE08456467042398880704,207
04/27,4729390503046994,Visa,CAD,DE61932146076474116124,208
